id,county,project name,description of the farm,soil depth cm,soil ph,soil ph class,exch acidity me,total nitrogen,total nitrogenclass,total org carbon,total org carbonclass,phosphorus olsen,phosphorus olsen class,potassium meq,potassium meqclass,calcium meq,calcium meqclass,magnesium meq,magnesium meqclass,manganese meq,manganese meqclass,copper,copper class,iron,iron class,zinc,zinc class,sodium meq,sodium meqclass,final latitude,final longitude,crop,fertilizer recommendation
20673,Nakuru,Individual,"Likia, Njoro, Nakuru",,5.64,medium acid,0.5,0.31,low,3.08,moderate,25.0,low,0.68,adequate,5.7,adequate,1.9,adequate,0.42,adequate,2.51,adequate,55.5,adequate,5.0,adequate,0.3,adequate,-0.484889388,36.14855194,"Cabbage, potato","The soil pH is satisfactory for crops' growth. Phosphorus is deficient. Soil organic matter content is sufficient. 
Cabbage: At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 100 kg/acre of single superphosphate (SSP). Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Potato: Just before planting apply 1 ton/acre of well decomposed manure or compost. At planting time apply in the ridge 100 kg/acre of SSP. The manure and fertilizer should be well worked into the soil to avoid close contact with the seeds. "
20674,Nakuru,Individual,"Likia, Njoro, Nakuru",,5.78,medium acid,0.5,0.31,low,3.1,moderate,35.0,adequate,0.9,adequate,4.3,adequate,2.5,adequate,0.79,adequate,1.46,adequate,51.3,adequate,2.55,low,0.54,adequate,-0.484889388,36.14855194,"Cabbage, peas","The soil pH is satisfactory for crops' growth. Soil organic matter content is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. 
Cabbage: At planting time apply 50 kg/acre of single superphosphate (SSP). Top dress with 40 kg/acre of calcium ammonium nitrate (CAN) when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold. 
Peas: At planting apply 100 kg/acre of SSP. Mix well with the soil."
20675,Nakuru,Individual,"Likia, Njoro, Nakuru",,5.66,medium acid,0.5,0.4,low,4.04,moderate,35.0,adequate,0.92,adequate,4.3,adequate,1.23,adequate,0.4,adequate,1.0,adequate,16.0,adequate,0.56,low,0.39,adequate,-0.484889388,36.14855194,Maize,"The soil pH is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Maize: At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 50 kg/acre of single superphosphate (SSP). When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN)."
20676,Nakuru,Individual,"Bahati, Nakuru",,6.22,slight acid,0.5,0.39,low,3.88,moderate,30.0,adequate,2.19,high,7.9,adequate,1.48,adequate,0.56,adequate,2.0,adequate,40.7,adequate,5.19,adequate,0.58,adequate,-0.484889388,36.14855194,Potato,"The soil pH is satisfactory for crops' growth. Phosphorus is at the deficiency threshold level. Soil organic matter content is sufficient. 
Potato: Just before planting apply 1 ton/acre of well decomposed manure or compost. At planting time apply in the ridge 50 kg/acre of SSP. The manure and fertilizer should be well worked into the soil to avoid close contact with the seeds. "
21260,Nakuru,Individual,"Molo, Nakuru",,4.34,extreme acid,0.6,0.43,low,4.23,moderate,10.0,low,1.1,adequate,3.5,adequate,3.66,high,0.51,adequate,1.23,adequate,133.0,adequate,15.9,adequate,0.32,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is very acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: To raise soil pH apply 500 kg/acre of agricultural lime at least 3 weeks before planting. Just before planting apply  in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds. "
21302,Nakuru,Individual,"Nyakiambi, Molo, Nakuru",,6.91,near neutral,0.5,0.39,low,3.91,moderate,105.0,high,1.39,adequate,4.9,adequate,5.02,high,0.85,adequate,3.22,adequate,205.0,adequate,27.8,adequate,1.83,adequate,-0.484889388,36.14855194,Tomato,"The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Tomato: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 50 kg/acre of diammonium phosphate (DAP). At the start of flowering top dress with 80 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. "
21303,Nakuru,Individual,"Nyakiambi, Molo, Nakuru",,6.84,near neutral,0.5,0.18,low,1.72,moderate,40.0,adequate,1.89,high,6.7,adequate,4.52,high,0.42,adequate,3.89,adequate,98.8,adequate,27.6,adequate,1.04,adequate,-0.484889388,36.14855194,Tomato,"The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter content is sufficient. 
Tomato: At land preparation apply through broadcasting 1 ton/acre of well decomposed manure or compost in order to maintain adequate level of organic matter. Mix well with the soil. At planting time apply 50 kg/acre of diammonium phosphate (DAP). At the start of flowering top dress with 80 kg/acre of calcium ammonium nitrate (CAN). At early fruiting stage top dress with 50 kg/acre of CAN. "
21805,Nakuru,Individual,"Molo, Kiringet, Nakuru",,4.02,extreme acid,0.3,0.27,adequate,2.64,moderate,15.0,low,0.88,adequate,2.7,adequate,2.07,adequate,0.42,adequate,1.19,adequate,119.0,adequate,16.8,adequate,0.24,adequate,-0.313626796,35.71710587,"Potato, onion, strawberry","The soil pH is very acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus is deficient. Soil organic matter content should be improved. To raise soil pH apply 500 kg/acre of agricultural lime at least 3 weeks before planting. At land preparation time apply 2 tons/acre of well decomposed manure or compost. 
Potato: At planting time apply in the ridge 120 kg/acre of single superphosphate (SSP). The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. 
Onion: At planting time apply along the drill line 120 kg/acre of SSP. One month after planting top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
Strawberry: Apply along the rows 120 kg/acre of SSP. At flowering time apply 50 kg/acre of CAN. Deflower to control premature cropping until the crop is well established."
22066,Nakuru,Individual,"Kiamaina, Bahati, Nakuru",,5.97,medium acid,0.5,0.58,adequate,5.8,high,40.0,adequate,2.31,adequate,7.3,adequate,6.09,high,1.19,adequate,1.86,adequate,69.1,adequate,43.6,adequate,0.52,adequate,-0.2518062,36.18569946,"Tomato, capsicum","The soil reaction (pH) is satisfactory for crops' growth. Phosphorus is at deficiency threshold level. Soil organic matter is sufficient. 
Capsicum: At planting time apply 80 kg/acre of single superphosphate (SSP). When plants are about 15 cm high top dress with 40 kg/acre of calcium ammonium nitrate (CAN) and later about 4 weeks with 80 kg/acre of CAN. 
Tomato: At planting time apply 80 kg/acre of SSP. At early fruiting stage top dress with 40 kg/acre of CAN. "
22072,Nakuru,Individual,"Molo, Nakuru",,5.21,medium acid,0.2,0.3,low,2.95,moderate,10.0,low,1.36,adequate,3.9,adequate,3.32,high,0.83,adequate,1.48,adequate,95.1,adequate,22.6,adequate,0.36,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22073,Nakuru,Individual,"Molo, Nakuru",,4.65,strong acid,0.3,0.34,low,3.4,moderate,10.0,low,1.92,high,5.7,adequate,4.08,high,0.68,adequate,1.23,adequate,77.6,adequate,32.4,adequate,0.44,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22074,Nakuru,Individual,"Molo, Nakuru",,5.03,medium acid,0.3,0.24,low,2.37,moderate,10.0,low,1.2,adequate,3.7,adequate,3.22,high,0.62,adequate,1.16,adequate,76.2,adequate,38.5,adequate,0.36,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22075,Nakuru,Individual,"Molo, Nakuru",,5.12,medium acid,0.3,0.37,low,3.71,moderate,15.0,low,1.6,high,4.7,adequate,5.22,high,0.84,adequate,1.3,adequate,77.2,adequate,37.7,adequate,0.4,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22076,Nakuru,Individual,"Molo, Nakuru",,5.1,medium acid,0.3,0.39,low,3.83,moderate,20.0,low,1.84,high,5.7,adequate,4.86,high,0.82,adequate,1.17,adequate,90.1,adequate,16.8,adequate,0.42,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22077,Nakuru,Individual,"Molo, Nakuru",,5.24,medium acid,0.2,0.25,low,2.51,moderate,15.0,low,1.0,adequate,4.9,adequate,3.92,high,0.62,adequate,2.4,adequate,60.7,adequate,25.7,adequate,0.48,adequate,-0.484889388,36.14855194,Potato,"The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizers like DAP and urea should be avoided. Phosphorus is deficient. Soil organic matter is sufficient. 
Potato: At planting apply in the ridge 120 kg/acre of single superphosphate (SSP) or 60 kg/acre of triple superphosphate (TSP). The fertilizer should be well worked into the soil to avoid close contact with potato seeds.  "
22277,Nakuru,Individual,"Subukia, Nakuru",,5.11,medium acid,0.5,0.24,adequate,2.34,moderate,15.0,low,0.94,adequate,2.5,adequate,1.99,adequate,0.34,adequate,1.26,adequate,17.7,adequate,2.24,low,0.28,adequate,0.098823696,36.25285339,"Okra, beans, hay","The soil reaction (pH) is acidic for crops' growth. Hence, acidifying fertilizer like DAP should be avoided. Phosphorus and zinc are deficient. Soil organic matter content should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. 
Okra: At planting time apply in bands on the side furrow 100 kg/acre of single superphosphate (SSP). Top dress with calcium ammonium nitrate (CAN) in 2 equal split applications. The first top dress should be done 3-4 weeks after planting at 80 kg/acre and the second application 3-4 weeks later at the same rate. 
Beans: Several days before planting apply 100 kg/acre of compound fertilizer SSP. Plant rhizobium inoculated seeds. 
Hay: Apply 100 kg/acre of 100 kg/acre of SSP."
22286,Nakuru,Individual,"Gilgil, Nakuru",,6.17,slight acid,0.5,0.19,low,1.92,moderate,20.0,low,1.02,adequate,2.0,adequate,3.81,high,0.32,adequate,8.97,adequate,58.9,adequate,37.5,adequate,0.64,adequate,-0.486182392,36.34111023,"Capsicum, cauliflower, broccoli","The soil pH is satisfactory for crops' growth. Nitrogen and phosphorus are deficient. Soil organic matter content should be improved. At land preparation time apply 2 tons/acre of well decomposed manure or compost. 
Capsicum/ Chilli: At transplanting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When plants are 15 cm high top dress with 40 kg/acre of calcium ammonium nitrate (CAN). Four weeks later apply 80 kg/acre of CAN. 
Cauliflower/ 
Broccoli: At planting time apply 100 kg/acre of N:P:K 23:23:0. Top dress with 40 kg/acre of CAN when seedlings are established and a second top dressing at the rate of 80 kg/acre when leaves start to fold."
22331,Nakuru,Individual,"Rongai, Nakuru",,6.8,slight acid,0.5,0.32,adequate,3.27,moderate,55.0,adequate,3.55,high,11.9,adequate,4.91,high,0.61,adequate,1.06,adequate,40.5,adequate,14.2,adequate,0.84,adequate,-0.484889388,36.14855194,"Tomato, kale, vegetables","The top soil reaction (pH) is satisfactory for crops' growth. Soil organic matter is sufficient. At land preparation time apply 1 ton/acre of well decomposed manure or compost in order to maintain the adequate level of organic matter. 
Tomato: Top dress with 50 kg/acre of calcium ammonium nitrate (CAN) at early fruiting stage. 
Vegetables/ 
Kale: Top dress with 40 kg/acre of CAN when plants are 20 cm high followed by 80 kg/acre of CAN 3-4 weeks later."
22460,Nakuru,Individual,"Karati, Naivasha, Nakuru",,6.93,near neutral,0.5,0.28,low,2.74,moderate,25.0,low,2.04,high,5.7,adequate,3.94,high,0.65,adequate,4.58,adequate,49.3,adequate,4.42,low,0.5,adequate,-0.710155427,36.2262001,"Potato, beans, onion","All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain the adequate level of organic matter. 
Potato: Just before planting apply 100 kg/acre of single superphosphate (SSP). The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. Peas/ 
Beans: Several days before planting apply 100 kg/acre of SSP. 
Onion: At planting time apply along the drill line 100 kg/acre of SSP. One month after planting top dress with 50 kg/acre of CAN. "
22461,Nakuru,Individual,"Karati, Naivasha, Nakuru",,6.23,slight acid,0.5,0.25,low,2.51,moderate,15.0,low,0.94,adequate,5.1,adequate,3.82,high,0.66,adequate,2.36,adequate,78.0,adequate,3.3,low,0.44,adequate,-0.710155427,36.2262001,"Potato, beans, onion","All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain the adequate level of organic matter. 
Potato: Just before planting apply 100 kg/acre of single superphosphate (SSP). The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. Peas/ 
Beans: Several days before planting apply 100 kg/acre of SSP. 
Onion: At planting time apply along the drill line 100 kg/acre of SSP. One month after planting top dress with 50 kg/acre of CAN. "
22462,Nakuru,Individual,"Karati, Naivasha, Nakuru",,6.04,slight acid,0.5,0.36,low,3.54,moderate,15.0,low,1.66,high,3.9,adequate,3.35,high,0.58,adequate,2.5,adequate,95.4,adequate,4.17,low,0.36,adequate,-0.710155427,36.2262001,"Potato, beans, onion","All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Phosphorus and zinc are deficient. Soil organic matter is sufficient. At land preparation apply 1 ton/acre of well decomposed manure or compost in order to maintain the adequate level of organic matter. 
Potato: Just before planting apply 100 kg/acre of single superphosphate (SSP). The manure and fertilizer should be well worked into the soil to avoid close contact with potato seeds. Peas/ 
Beans: Several days before planting apply 100 kg/acre of SSP. 
Onion: At planting time apply along the drill line 100 kg/acre of SSP. One month after planting top dress with 50 kg/acre of CAN. "
22527,Nakuru,Individual,"Njoro, Nakuru",,6.52,slight acid,0.5,0.21,low,2.04,moderate,45.0,adequate,1.7,high,5.5,adequate,6.83,high,0.38,adequate,0.7,low,58.3,adequate,4.1,low,0.44,adequate,-0.35560891,35.98271179,Maize,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and copper are deficient. Soil organic matter should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost mixed with 2 kg/acre of copper sulphate. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
"
22528,Nakuru,Individual,"Njoro, Nakuru",,6.83,near neutral,0.5,0.17,adequate,1.98,moderate,20.0,low,1.28,adequate,4.7,adequate,3.77,high,0.48,adequate,0.31,low,72.3,adequate,7.65,adequate,0.42,adequate,-0.35560891,35.98271179,Maize,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and copper are deficient. Soil organic matter should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost mixed with 2 kg/acre of copper sulphate. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
"
22529,Nakuru,Individual,"Njoro, Nakuru",,6.02,slight acid,0.5,0.2,adequate,1.92,moderate,10.0,low,1.4,adequate,4.7,adequate,6.1,high,0.61,adequate,0.47,low,53.1,adequate,13.3,adequate,0.38,adequate,-0.35560891,35.98271179,Maize,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and copper are deficient. Soil organic matter should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost mixed with 2 kg/acre of copper sulphate. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
"
22530,Nakuru,Individual,"Njoro, Nakuru",,6.03,slight acid,0.5,0.24,adequate,2.34,moderate,10.0,low,1.94,high,5.5,adequate,5.66,high,0.79,adequate,0.41,low,48.9,adequate,16.0,adequate,0.4,adequate,-0.35560891,35.98271179,Maize,"All fields have similar soil fertility status. The soil reaction (pH) is satisfactory for crops' growth. Nitrogen, phosphorus and copper are deficient. Soil organic matter should be improved. 
Maize: At land preparation apply 2 tons/acre of well decomposed manure or compost mixed with 2 kg/acre of copper sulphate. At planting time apply 100 kg/acre of compound fertilizer N:P:K 23:23:0. When maize is about a knee high, top dress with 50 kg/acre of calcium ammonium nitrate (CAN). 
"
22547,Nakuru,Individual,"Gilgil, Nakuru",,6.32,slight acid,0.5,0.23,adequate,2.26,moderate,50.0,adequate,3.27,high,10.1,adequate,3.97,high,0.55,adequate,1.13,adequate,61.4,adequate,7.79,adequate,0.76,adequate,-0.486182392,36.34111023,"Tomato, capsicum, cucumber","The soil reaction (pH) is satisfactory for crops' growth. Soil organic matter should be improved. At land preparation apply 2 tons/acre of well decomposed manure or compost. 
Capsicum: When plants are about 15 cm high top dress with 40 kg/acre of calcium ammonium nitrate (CAN) and later about 4 weeks with 80 kg/acre of CAN. 
Tomato: At the start of flowering top dress with 80 kg/acre of CAN. At early fruiting stage top dress with 50 kg/acre of CAN. 
Cucumber: After thinning top dress with 50 kg/acre of CAN followed by 100 kg/acre of CAN prior to flowering. "
22666,Nakuru,Individual,"Egerton, Njoro, Nakuru",,5.8,medium acid,0.5,0.28,low,2.76,moderate,15.0,low,1.6,high,5.5,adequate,3.26,high,0.65,adequate,1.37,adequate,107.0,adequate,15.5,adequate,0.42,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22667,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.02,slight acid,0.5,0.29,low,2.91,moderate,30.0,adequate,1.86,high,6.1,adequate,3.53,high,0.88,adequate,1.22,adequate,110.0,adequate,16.1,adequate,0.44,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22668,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.39,slight acid,0.5,0.29,low,2.82,moderate,30.0,adequate,1.84,high,5.5,adequate,3.94,high,1.14,adequate,1.23,adequate,112.0,adequate,16.4,adequate,0.38,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22669,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.03,slight acid,0.5,0.27,low,2.66,moderate,35.0,adequate,1.72,high,5.3,adequate,3.77,high,0.79,adequate,1.25,adequate,120.0,adequate,15.9,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22670,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.24,slight acid,0.5,0.29,low,2.84,moderate,30.0,adequate,1.78,high,5.7,adequate,4.89,high,0.89,adequate,1.37,adequate,110.0,adequate,16.5,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22671,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.7,slight acid,0.5,0.29,low,2.86,moderate,25.0,low,1.7,high,5.5,adequate,3.98,high,0.87,adequate,1.35,adequate,109.0,adequate,16.6,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22672,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.14,slight acid,0.5,0.29,low,2.87,moderate,25.0,low,1.8,high,5.7,adequate,4.0,high,1.21,adequate,1.28,adequate,101.0,adequate,16.2,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22673,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.29,slight acid,0.5,0.27,low,2.65,moderate,25.0,low,1.68,high,5.3,adequate,3.84,high,1.11,adequate,1.27,adequate,108.0,adequate,15.8,adequate,0.38,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22674,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.51,slight acid,0.5,0.27,low,2.68,moderate,40.0,adequate,1.82,high,6.1,adequate,3.33,high,0.96,adequate,1.32,adequate,111.0,adequate,16.6,adequate,0.44,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22675,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.05,slight acid,0.5,0.27,low,2.66,moderate,30.0,adequate,1.6,high,12.1,adequate,3.91,high,1.41,adequate,1.3,adequate,116.0,adequate,14.7,adequate,0.58,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22676,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.42,slight acid,0.5,0.26,low,2.54,moderate,25.0,low,1.74,high,5.5,adequate,3.55,high,0.99,adequate,1.31,adequate,113.0,adequate,15.9,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22677,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.4,slight acid,0.5,0.28,low,2.82,moderate,30.0,adequate,1.84,high,14.4,adequate,4.11,high,0.83,adequate,1.07,adequate,117.0,adequate,16.1,adequate,1.35,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22678,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.08,slight acid,0.5,0.29,low,2.83,moderate,30.0,adequate,1.66,high,5.5,adequate,3.96,high,0.85,adequate,1.77,adequate,112.0,adequate,15.8,adequate,0.4,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22679,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.21,slight acid,0.5,0.27,low,2.7,moderate,30.0,adequate,1.8,high,9.3,adequate,3.73,high,0.75,adequate,1.37,adequate,107.0,adequate,16.5,adequate,0.82,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22680,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.14,slight acid,0.5,0.28,low,2.76,moderate,30.0,adequate,1.82,high,7.3,adequate,4.0,high,1.02,adequate,1.48,adequate,111.0,adequate,16.9,adequate,0.56,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22681,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.27,slight acid,0.5,0.28,low,2.78,moderate,30.0,adequate,1.74,high,5.9,adequate,3.98,high,0.81,adequate,1.8,adequate,116.0,adequate,16.2,adequate,0.44,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22682,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.4,slight acid,0.5,0.29,low,2.91,moderate,30.0,adequate,1.78,high,5.9,adequate,3.95,high,0.85,adequate,1.31,adequate,105.0,adequate,16.5,adequate,0.44,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22683,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.24,slight acid,0.5,0.29,low,2.92,moderate,30.0,adequate,1.86,high,5.7,adequate,3.7,high,0.96,adequate,1.68,adequate,108.0,adequate,16.2,adequate,0.42,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22684,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.42,slight acid,0.5,0.29,low,2.9,moderate,30.0,adequate,2.0,high,6.5,adequate,4.09,high,0.81,adequate,1.37,adequate,109.0,adequate,16.6,adequate,0.46,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22685,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.35,slight acid,0.5,0.29,low,2.83,moderate,25.0,low,1.76,high,5.7,adequate,3.86,high,1.04,adequate,1.37,adequate,117.0,adequate,16.6,adequate,0.44,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22686,Nakuru,Individual,"Egerton, Njoro, Nakuru",,7.65,medium alkaline,0.5,0.09,low,0.86,low,21.0,high,1.24,adequate,10.1,adequate,5.23,high,0.4,adequate,0.89,low,47.9,adequate,2.0,low,0.82,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22687,Nakuru,Individual,"Egerton, Njoro, Nakuru",,7.23,slight alkaline,0.5,0.1,low,0.99,low,20.0,adequate,1.1,adequate,8.9,adequate,4.89,high,0.51,adequate,0.91,low,62.9,adequate,2.43,low,0.7,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22688,Nakuru,Individual,"Egerton, Njoro, Nakuru",,8.86,strong alkaline,0.5,0.05,low,0.44,low,13.0,adequate,1.5,adequate,27.6,high,8.09,high,0.24,adequate,0.87,low,54.2,adequate,1.35,low,1.85,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22689,Nakuru,Individual,"Egerton, Njoro, Nakuru",,8.75,strong alkaline,0.5,0.05,low,0.49,low,7.0,low,1.44,adequate,22.1,high,7.85,high,0.26,adequate,0.9,low,63.2,adequate,1.8,low,1.39,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22690,Nakuru,Individual,"Egerton, Njoro, Nakuru",,6.15,slight acid,0.5,0.12,low,1.19,low,70.0,adequate,0.56,adequate,3.5,adequate,3.77,high,0.21,adequate,1.11,adequate,28.7,adequate,2.15,low,0.32,adequate,-0.484889388,36.14855194,"Maize, beans",Results forwarded.
22732,Nakuru,Individual,"Komothai, Gilgil, Nakuru",,5.87,medium acid,0.5,0.29,low,2.91,moderate,15.0,low,1.14,adequate,3.9,adequate,3.36,high,0.34,adequate,1.43,adequate,48.4,adequate,6.35,adequate,0.32,adequate,-0.484889388,36.14855194,"Cabbages, passion, tomato tree","The soil pH is moderately acid and favourable for the growth of these crops. Phosphorus is low. Cabbage:  Apply 1 handful of well decomposed manure mixed well with 2 teaspoonfuls of compound fertilizer N:P:K 23:23:0 and soil per planting hole.Top dress with 75kg/ha when the crop is well established and a second top dressing at 150kg/ha when leaves start to fold. 
Passion:  At planting apply 5kg of well decomposed manure/compost mixed with 2 teaspoonfuls of 23:23:0 and soil. Apply 100g/plant of CAN one month after planting. Tree tomatoes:  At transplanting apply 5kg of well decomposed manure/compost mixed well with 2 teaspoonfuls of 23:23:0 and soil per planting hole. Top dress with 1 teaspoonful of CAN when the crop is 2 months.  At flowering top dress with 2 teaspoonfuls of CAN."
